generated,reference,distance,changes,features_comment,features_documented,address
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.8a', 'index': 2}]"
māhiia,māhiia,0,,,,"[{'id': 'Y2.8a', 'index': 3}, {'id': 'Y2.8a', 'index': 4}]"
aṣ̌auuana,aṣ̌auuana,0,,,,"[{'id': 'Y2.8a', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.8a', 'index': 6}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.8a', 'index': 7}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.8a', 'index': 8}]"
yešti,yešti,0,,,,"[{'id': 'Y2.8a', 'index': 9}]"
aṇtarəmā̊ŋhəm,aṇtarəmā̊ŋhəm,2,,,,"[{'id': 'Y2.8b', 'index': 0}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.8b', 'index': 1}, {'id': 'Y2.8b', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.8b', 'index': 3}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.8b', 'index': 4}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.8b', 'index': 5}]"
yešti,yešti,0,,,,"[{'id': 'Y2.8b', 'index': 6}, {'id': 'Y2.8b', 'index': 7}]"
pərənōmā̊ŋhəm,pərənōmā̊ŋhəm,0,,,,"[{'id': 'Y2.8b', 'index': 8}, {'id': 'Y2.8c', 'index': 0}]"
vīšaptatəm,vīšaptaϑəm,1,t to ϑ,,False,"[{'id': 'Y2.8c', 'index': 1}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.8c', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.8c', 'index': 3}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.8c', 'index': 4}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.8c', 'index': 5}]"
yešti,yešti,0,,,,"[{'id': 'Y2.8c', 'index': 6}]"
ahmiia,aɱiia,2,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9a', 'index': 2}]"
yāiriia,yāiriia,0,,,,"[{'id': 'Y2.9a', 'index': 2.5}]"
aṣ̌auuana,aṣ̌auuana,0,,,,"[{'id': 'Y2.9a', 'index': 3}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9a', 'index': 4}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.9a', 'index': 5}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9a', 'index': 6}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9a', 'index': 7}]"
maiδiiōizarəmaēm,maiδiiōizarəmaēm,0,,,,"[{'id': 'Y2.9a', 'index': 8}, {'id': 'Y2.9b', 'index': 0}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9b', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9b', 'index': 2}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9b', 'index': 3}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9b', 'index': 4}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9b', 'index': 5}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9c', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9c', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9c', 'index': 2}]"
maiδiiōišiməm,maiδiiōišəməm,1,i to ə,,False,"[{'id': 'Y2.9c', 'index': 3}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9c', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9c', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9c', 'index': 6}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9c', 'index': 7}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9c', 'index': 8}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9c', 'index': 9}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9d', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9d', 'index': 1}, {'id': 'Y2.9d', 'index': 2}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9d', 'index': 3}]"
paitišhahīm,paitišhahīm,0,,,,"[{'id': 'Y2.9d', 'index': 4}, {'id': 'Y2.9d', 'index': 5}]"
paitišahīm,paitišhahīm,1,h deleted,,False,"[{'id': 'Y2.9d', 'index': 6}, {'id': 'Y2.9d', 'index': 7}]"
paitišhahīm,paitišhahīm,0,,,,"[{'id': 'Y2.9d', 'index': 8}]"
paitišahīm,paitišhahīm,1,h deleted,,False,"[{'id': 'Y2.9d', 'index': 9}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9d', 'index': 10}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9d', 'index': 11}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9d', 'index': 12}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9d', 'index': 13}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9d', 'index': 14}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9e', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9e', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9e', 'index': 2}]"
aiiāϑrəməm,aiiāϑriməm,1,ə to i,,False,"[{'id': 'Y2.9e', 'index': 3}]"
fraōuruuīštrəməm,fraōuruuaēštriməm,3,"ī to aē, ə to i",,False,"[{'id': 'Y2.9e', 'index': 4}]"
varəšne,varšni,2,"ə inserted, e to i",,False,"[{'id': 'Y2.9e', 'index': 5}]"
harəštəməm,harštəm,2,"ə inserted, ə inserted, m inserted",,False,"[{'id': 'Y2.9e', 'index': 6}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9e', 'index': 7}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9e', 'index': 8}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9e', 'index': 9}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9e', 'index': 10}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9e', 'index': 11}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9f', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9f', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9f', 'index': 2}, {'id': 'Y2.9f', 'index': 3}]"
maiδiiāirīm,maiδiiāirīm,0,,,,"[{'id': 'Y2.9f', 'index': 4}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9f', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9f', 'index': 6}, {'id': 'Y2.9f', 'index': 7}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9f', 'index': 8}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9f', 'index': 9}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9f', 'index': 10}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9g', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9g', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.9g', 'index': 2}]"
hamaspaϑmaēdīm,hamaspaϑmaēdaēm,2,ī to aē,,False,"[{'id': 'Y2.9g', 'index': 3}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.9g', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9g', 'index': 5}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.9g', 'index': 6}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9g', 'index': 7}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9g', 'index': 8}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.9h', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.9h', 'index': 1}]"
sarəδa,sarəδa,0,,,,"[{'id': 'Y2.9h', 'index': 2}]"
aṣ̌auuana,aṣ̌auuana,0,,,,"[{'id': 'Y2.9h', 'index': 3}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.9h', 'index': 4}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.9h', 'index': 5}]"
āiiese,āiiese,0,,,,"[{'id': 'Y2.9h', 'index': 6}]"
yešti,yešti,0,,,,"[{'id': 'Y2.9h', 'index': 7}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.10a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.10a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.10a', 'index': 2}, {'id': 'Y2.10a', 'index': 3}]"
vīspe,vīspe,0,,,,"[{'id': 'Y2.10a', 'index': 4}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.10a', 'index': 5}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.10a', 'index': 6}]"
yōi,yōi,0,,,,"[{'id': 'Y2.10a', 'index': 7}]"
həṇti,həṇti,0,,,,"[{'id': 'Y2.10a', 'index': 8}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.10a', 'index': 9}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.10a', 'index': 10}]"
ϑrəiiasca,ϑraiiasca,1,"ə to ai, ii to i",,False,"[{'id': 'Y2.10a', 'index': 11}, {'id': 'Y2.10a', 'index': 12}]"
ϑrisąsca,ϑrisąsca,0,,,,"[{'id': 'Y2.10a', 'index': 13}]"
nazdišta,nazdišta,0,,,,"[{'id': 'Y2.10a', 'index': 14}]"
pairəšhāuuanaiiō,pairišhāuuanaiiō,1,ə to i,,False,"[{'id': 'Y2.10a', 'index': 15}, {'id': 'Y2.10a', 'index': 16}]"
yōi,yōi,0,,,,"[{'id': 'Y2.10a', 'index': 17}]"
həṇti,həṇti,0,,,,"[{'id': 'Y2.10a', 'index': 18}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.10a', 'index': 19}]"
yat̰,yat̰,0,,,,"[{'id': 'Y2.10a', 'index': 20}, {'id': 'Y2.10a', 'index': 21}]"
vahištahe,vahištahe,0,,,,"[{'id': 'Y2.10a', 'index': 22}]"
mazdōfrasāsta,mazdōfrasāsta,0,,,,"[{'id': 'Y2.10a', 'index': 23}]"
zaraϑuštrōfraōxta,zaraϑuštrōfraōxta,0,,,,"[{'id': 'Y2.10a', 'index': 24}, {'id': 'Y2.10a', 'index': 25}]"
ahmiia,aɱiia,0,"h to ɱ, m inserted",,False,"[{'id': 'Y2.11a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.11a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.11a', 'index': 2}]"
ahura,ahura,0,,,,"[{'id': 'Y2.11a', 'index': 3}]"
miϑra,miϑra,0,,,,"[{'id': 'Y2.11a', 'index': 4}]"
bərəzaṇta,bərəzaṇta,0,,,,"[{'id': 'Y2.11a', 'index': 5}]"
aiϑiiejaŋha,aiϑiiejaŋha,0,,,,"[{'id': 'Y2.11a', 'index': 6}]"
aṣ̌auuana,aṣ̌auuana,0,,,,"[{'id': 'Y2.11a', 'index': 7}]"
strə̄ušca,strə̄ušca,0,,,,"[{'id': 'Y2.11a', 'index': 8}, {'id': 'Y2.11b', 'index': 0}, {'id': 'Y2.11b', 'index': 1}]"
mā̊ŋhəmca,mā̊ŋhəmca,0,,,,"[{'id': 'Y2.11b', 'index': 2}]"
huuarəca,huuarəca,0,,,,"[{'id': 'Y2.11b', 'index': 3}]"
uruuarāhu,uruuarāhu,0,,,,"[{'id': 'Y2.11b', 'index': 4}, {'id': 'Y2.11b', 'index': 5}]"
paiti,paiti,0,,,,"[{'id': 'Y2.11b', 'index': 6}]"
barəsmaniiāhu,barəsmańiiāhu,1,n to ń,,False,"[{'id': 'Y2.11b', 'index': 7}]"
miϑrəm,miϑrəm,0,,,,"[{'id': 'Y2.11b', 'index': 8}]"
vīspanąm,vīspanąm,0,,,,"[{'id': 'Y2.11b', 'index': 9}, {'id': 'Y2.11b', 'index': 10}]"
dax́iiunąm,dax́iiunąm,0,,,,"[{'id': 'Y2.11b', 'index': 11}]"
daiŋ́hupaitīm,daiŋ́hupaitīm,0,,,,"[{'id': 'Y2.11b', 'index': 12}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.12a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.12a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.12a', 'index': 2}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.13a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.13a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.13a', 'index': 1.5}]"
ϑβąm,ϑβąm,0,,,,"[{'id': 'Y2.13a', 'index': 2}]"
ātrəm,ātrəm,0,,,,"[{'id': 'Y2.13a', 'index': 3}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y2.13a', 'index': 4}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y2.13a', 'index': 5}]"
puϑrəm,puϑrəm,0,,,,"[{'id': 'Y2.13a', 'index': 6}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.13a', 'index': 7}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.13a', 'index': 8}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y2.13a', 'index': 9}, {'id': 'Y2.13a', 'index': 10}]"
mat̰,mat̰,0,,,,"[{'id': 'Y2.13a', 'index': 11}]"
vīspaēibiiō,vīspaēibiiō,0,,,,"[{'id': 'Y2.13a', 'index': 12}]"
ātərəbiiō,ātərəbiiō,0,,,,"[{'id': 'Y2.13a', 'index': 13}, {'id': 'Y2.13a', 'index': 14}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.13b', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.13b', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.13b', 'index': 2}]"
āpō,āpō,0,,,,"[{'id': 'Y2.13b', 'index': 3}, {'id': 'Y2.13b', 'index': 4}]"
vaŋhīš,vaŋᵛhīš,1,ŋ to ŋᵛ,,False,"[{'id': 'Y2.13b', 'index': 5}]"
vahištā̊,vahištā̊,0,,,,"[{'id': 'Y2.13b', 'index': 6}]"
mazdaδātā̊,mazdaδātā̊,0,,,,"[{'id': 'Y2.13b', 'index': 7}]"
aṣ̌aōnīš,aṣ̌aōnīš,0,,,,"[{'id': 'Y2.13b', 'index': 8}]"
vīspā̊,vīspā̊,0,,,,"[{'id': 'Y2.13b', 'index': 9}, {'id': 'Y2.13c', 'index': 0}]"
āpō,āpō,0,,,,"[{'id': 'Y2.13c', 'index': 1}]"
mazdaδātā̊,mazdaδātā̊,0,,,,"[{'id': 'Y2.13c', 'index': 2}]"
aṣ̌aōnīš,aṣ̌aōnīš,0,,,,"[{'id': 'Y2.13c', 'index': 3}]"
vīspā̊,vīspā̊,0,,,,"[{'id': 'Y2.13c', 'index': 4}]"
āpō,āpō,0,,,,"[{'id': 'Y2.13c', 'index': 5}]"
mazdaδātā̊,mazdaδātā̊,0,,,,"[{'id': 'Y2.13c', 'index': 6}]"
aṣ̌aōnīš,aṣ̌aōnīš,0,,,,"[{'id': 'Y2.13c', 'index': 7}]"
vīspā̊,vīspā̊,0,,,,"[{'id': 'Y2.13c', 'index': 8}, {'id': 'Y2.13d', 'index': 0}]"
uruuarā̊,uruuarā̊,0,,,,"[{'id': 'Y2.13d', 'index': 1}]"
mazdaδātā̊,mazdaδātā̊,0,,,,"[{'id': 'Y2.13d', 'index': 2}, {'id': 'Y2.13d', 'index': 3}]"
aṣ̌aōnīš,aṣ̌aōnīš,0,,,,"[{'id': 'Y2.13d', 'index': 4}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.14a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.14a', 'index': 1}, {'id': 'Y2.14a', 'index': 2}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.14a', 'index': 3}]"
mąϑrəm,mąϑrəm,0,,,,"[{'id': 'Y2.14a', 'index': 4}]"
spəṇtəm,spəṇtəm,0,,,,"[{'id': 'Y2.14a', 'index': 5}, {'id': 'Y2.14a', 'index': 6}]"
aṣ̌xᵛarənaŋhəm,ašxᵛarənaŋhəm,1,ṣ̌ to š,,False,"[{'id': 'Y2.14a', 'index': 7}]"
dātəmvīdōiium,dātəmvīdōiium,0,,,,"[{'id': 'Y2.14b', 'index': 0}]"
dātəm,dātəm,0,,,,"[{'id': 'Y2.14b', 'index': 1}, {'id': 'Y2.14c', 'index': 0}]"
zaraϑuštrəm,zaraϑuštrəm,0,,,,"[{'id': 'Y2.14c', 'index': 1}]"
darəγąm,darəγąm,0,,,,"[{'id': 'Y2.14d', 'index': 0}]"
upaiianąm,upaiianąm,0,,,,"[{'id': 'Y2.14d', 'index': 1}]"
daēnąm,daēnąm,0,,,,"[{'id': 'Y2.14d', 'index': 2}, {'id': 'Y2.14e', 'index': 0}, {'id': 'Y2.14e', 'index': 1}]"
vaŋhīm,vaŋᵛhīm,1,ŋ to ŋᵛ,,False,"[{'id': 'Y2.14e', 'index': 2}]"
māzdaiiasnīm,māzdaiiasnīm,0,,,,"[{'id': 'Y2.14e', 'index': 3}]"
ah,ahū,1,ū deleted,,False,"[{'id': 'Y2.14e', 'index': 4}, {'id': 'Y2.15a', 'index': 0}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.15a', 'index': 1}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.15a', 'index': 2}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.15a', 'index': 3}]"
gairīm,gairīm,0,,,,"[{'id': 'Y2.15a', 'index': 4}]"
ušidaranəm,ušidarənəm,1,a to ə,,False,"[{'id': 'Y2.15a', 'index': 4.5}]"
mazdaδātəm,mazdaδātəm,0,,,,"[{'id': 'Y2.15a', 'index': 5}]"
aṣ̌axᵛāϑrəm,aṣ̌axᵛāϑrəm,0,,,,"[{'id': 'Y2.15a', 'index': 6}, {'id': 'Y2.15a', 'index': 7}]"
yazatəm,yazatəm,0,,,,"[{'id': 'Y2.15a', 'index': 8}]"
vīspā̊,vīspā̊,0,,,,"[{'id': 'Y2.15a', 'index': 9}, {'id': 'Y2.15b', 'index': 0}]"
garaiiō,garaiiō,0,,,,"[{'id': 'Y2.15b', 'index': 1}]"
aṣ̌axᵛāϑrā̊,aṣ̌axᵛāϑrā̊,0,,,,"[{'id': 'Y2.15b', 'index': 2}]"
pouruxᵛāϑrā̊,pouruxᵛāϑrā̊,0,,,,"[{'id': 'Y2.15b', 'index': 3}, {'id': 'Y2.15b', 'index': 4}]"
mazdaδāta,mazdaδāta,0,,,,"[{'id': 'Y2.15b', 'index': 5}]"
aṣ̌auuana,aṣ̌auuana,0,,,,"[{'id': 'Y2.15b', 'index': 6}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y2.15b', 'index': 7}, {'id': 'Y2.15b', 'index': 8}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.15b', 'index': 9}]"
uγrəm,uγrəm,0,,,,"[{'id': 'Y2.15b', 'index': 10}, {'id': 'Y2.15c', 'index': 0}]"
kauuīm,kauuaēm,1,ī to aē,,False,"[{'id': 'Y2.15c', 'index': 1}]"
xᵛarənō,xᵛarənō,0,,,,"[{'id': 'Y2.15c', 'index': 2}, {'id': 'Y2.15c', 'index': 3}]"
mazdaδātəm,mazdaδātəm,0,,,,"[{'id': 'Y2.15c', 'index': 4}]"
uγrəm,uγrəm,0,,,,"[{'id': 'Y2.15c', 'index': 5}, {'id': 'Y2.15d', 'index': 0}]"
axᵛarətəm,axᵛarətəm,0,,,,"[{'id': 'Y2.15d', 'index': 1}, {'id': 'Y2.15d', 'index': 2}]"
xᵛarənō,xᵛarənō,0,,,,"[{'id': 'Y2.15d', 'index': 3}]"
mazdaδātəm,mazdaδātəm,0,,,,"[{'id': 'Y2.15d', 'index': 4}]"
ahmiia,aɱiia,0,"h to ɱ, m inserted",,False,"[{'id': 'Y2.15d', 'index': 5}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.15e', 'index': 0}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.15e', 'index': 1}]"
aṣ̌īm,aṣ̌īm,0,,,,"[{'id': 'Y2.15e', 'index': 2}]"
vaŋhīm,vaŋᵛhīm,1,ŋ to ŋᵛ,,False,"[{'id': 'Y2.15e', 'index': 3}, {'id': 'Y2.15e', 'index': 4}]"
xšōiϑnīm,xšōiϑnīm,0,,,,"[{'id': 'Y2.15e', 'index': 5}, {'id': 'Y2.15f', 'index': 0}]"
bərəzaitīm,bərəzaitīm,0,,,,"[{'id': 'Y2.15f', 'index': 1}]"
amauuaitīm,amauuaitīm,0,,,,"[{'id': 'Y2.15f', 'index': 2}, {'id': 'Y2.15f', 'index': 3}]"
huraōδąm,huraōδąm,0,,,,"[{'id': 'Y2.15f', 'index': 4}]"
xᵛāparąm,xᵛāparąm,0,,,,"[{'id': 'Y2.15f', 'index': 5}]"
xᵛarənō,xᵛarənō,0,,,,"[{'id': 'Y2.15f', 'index': 6}]"
mazdaδātəm,mazdaδātəm,0,,,,"[{'id': 'Y2.15f', 'index': 7}]"
sauuō,sauuō,0,,,,"[{'id': 'Y2.15f', 'index': 8}, {'id': 'Y2.15g', 'index': 0}]"
mazdaδātəm,mazdaδātəm,0,,,,"[{'id': 'Y2.15g', 'index': 1}, {'id': 'Y2.15g', 'index': 2}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.16a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.16a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.16a', 'index': 2}]"
dahmąm,daɱąm,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.16a', 'index': 2.5}]"
vaŋhīm,vaŋᵛhīm,1,ŋ to ŋᵛ,,False,"[{'id': 'Y2.16a', 'index': 3}]"
āfritīm,āfritīm,0,,,,"[{'id': 'Y2.16a', 'index': 4}]"
dahməmca,daɱəmca,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.16b', 'index': 0}]"
narəm,narəm,0,,,,"[{'id': 'Y2.16b', 'index': 1}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y2.16b', 'index': 2}]"
uγrəm,uγrəm,0,,,,"[{'id': 'Y2.16b', 'index': 3}, {'id': 'Y2.16c', 'index': 0}, {'id': 'Y2.16c', 'index': 1}]"
taxməm,taxməm,0,,,,"[{'id': 'Y2.16c', 'index': 2}]"
dāmōiš,dāmōiš,0,,,,"[{'id': 'Y2.16c', 'index': 3}]"
upmanəm,upamanəm,0,a deleted,,False,"[{'id': 'Y2.16c', 'index': 4}]"
yazatəm,yazatəm,0,,,,"[{'id': 'Y2.16c', 'index': 5}, {'id': 'Y2.16c', 'index': 6}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.17a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.17a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.17a', 'index': 2}, {'id': 'Y2.17a', 'index': 3}]"
imā̊,imā̊,0,,,,"[{'id': 'Y2.17a', 'index': 4}]"
apasca,apasca,0,,,,"[{'id': 'Y2.17a', 'index': 5}]"
zəmasca,zəmasca,0,,,,"[{'id': 'Y2.17a', 'index': 6}]"
uruuarā̊sca,uruuarā̊sca,0,,,,"[{'id': 'Y2.17a', 'index': 7}, {'id': 'Y2.17a', 'index': 8}]"
imā̊,imā̊,0,,,,"[{'id': 'Y2.17a', 'index': 9}, {'id': 'Y2.17b', 'index': 0}]"
asāsca,asā̊sca,1,ā to ā̊,,False,"[{'id': 'Y2.17b', 'index': 1}]"
šōiϑrā̊sca,šōiϑrā̊sca,0,,,,"[{'id': 'Y2.17b', 'index': 2}]"
gaōiiaōitīšca,gaōiiaōitīšca,0,,,,"[{'id': 'Y2.17b', 'index': 2.5}]"
maēϑanaiiā̊sca,maēϑańiiā̊sca,2,"n to ń, ai to ii, i inserted",,False,"[{'id': 'Y2.17b', 'index': 3}]"
auuōxᵛarənā̊sca,auuōxᵛarənā̊sca,0,,,,"[{'id': 'Y2.17b', 'index': 4}, {'id': 'Y2.17b', 'index': 5}]"
iməmca,iməmca,0,,,,"[{'id': 'Y2.17b', 'index': 6}, {'id': 'Y2.17c', 'index': 0}]"
šōiϑrahe,šōiϑrahe,0,,,,"[{'id': 'Y2.17c', 'index': 1}, {'id': 'Y2.17c', 'index': 2}]"
paitīm,paitīm,0,,,,"[{'id': 'Y2.17c', 'index': 3}]"
yim,yim,0,,,,"[{'id': 'Y2.17c', 'index': 4}]"
ahurəm,ahurəm,0,,,,"[{'id': 'Y2.17c', 'index': 5}]"
mazdąm,mazdąm,0,,,,"[{'id': 'Y2.17c', 'index': 6}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.18a', 'index': 0}]"
zaōϑre,zaōϑre,0,,,,"[{'id': 'Y2.18a', 'index': 1}]"
barəsmanaēca,barəsmanaēca,0,,,,"[{'id': 'Y2.18a', 'index': 2}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y2.18a', 'index': 2.5}]"
vīspe,vīspe,0,,,,"[{'id': 'Y2.18a', 'index': 3}]"
mazišta,mazišta,0,,,,"[{'id': 'Y2.18a', 'index': 4}]"
aiiara,aiiara,0,,,,"[{'id': 'Y2.18a', 'index': 5}]"
asniia,asńiia,1,n to ń,,False,"[{'id': 'Y2.18a', 'index': 6}, {'id': 'Y2.18a', 'index': 7}]"
māhiia,māhiia,0,,,,"[{'id': 'Y2.18a', 'index': 8}]"
yāiriia,yāiriia,0,,,,"[{'id': 'Y2.18a', 'index': 9}]"
sarəδa,sarəδa,0,,,,"[{'id': 'Y2.18a', 'index': 10}]"
ahmiia,aɱiia,1,"h to ɱ, m inserted",,False,"[{'id': 'Y2.18a', 'index': 11}]"
