generated,reference,distance,changes,features_comment,features_documented,address
aṣ̌auuāzō,aṣ̌auuāzō,0,,,,"[{'id': 'Y11.10a', 'index': 4}, {'id': 'Y11.10a', 'index': 5}]"
vīspō,vīspō,0,,,,"[{'id': 'Y11.10a', 'index': 6}, {'id': 'Y11.10c', 'index': 0}]"
x́āϑrəm,xᵛāϑrəm,1,x́ to xᵛ,,False,"[{'id': 'Y11.10c', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.10c', 'index': 2}, {'id': 'Y11.11AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y11.11AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.12AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y11.12AV', 'index': 1}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y11.12AV', 'index': 2}, {'id': 'Y11.13YAV', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y11.13YAV', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y11.13YAV', 'index': 2}]"
vasasca,vasasca,0,,,,"[{'id': 'Y11.13YAV', 'index': 3}, {'id': 'Y11.14a', 'index': 0}]"
tū,tū,0,,,,"[{'id': 'Y11.14a', 'index': 1}]"
ahura,ahura,0,,,,"[{'id': 'Y11.14a', 'index': 2}]"
mazda,mazda,0,,,,"[{'id': 'Y11.14a', 'index': 3}]"
vīspaiiā̊,vīspaiiā̊,0,,,,"[{'id': 'Y11.14a', 'index': 4}, {'id': 'Y11.17b', 'index': 0}, {'id': 'Y11.17b', 'index': 1}]"
druuatō,druuatō,0,,,,"[{'id': 'Y11.17b', 'index': 2}]"
stōiš,stōiš,0,,,,"[{'id': 'Y11.17b', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.17b', 'index': 4}, {'id': 'Y12.0AV', 'index': 0}]"
